x   host1          host2 
74 3.89 GBytes 33.4 Gbits/sec       4.05 GBytes 34.8 Gbits/sec
75 3.66 GBytes 31.4 Gbits/sec       4.41 GBytes 37.9 Gbits/sec
76 4.21 GBytes 36.1 Gbits/sec       4.21 GBytes 36.1 Gbits/sec
77 3.95 GBytes 33.9 Gbits/sec       3.98 GBytes 34.2 Gbits/sec
78 4.16 GBytes 35.7 Gbits/sec       4.11 GBytes 35.3 Gbits/sec
79 4.38 GBytes 37.6 Gbits/sec       4.12 GBytes 35.4 Gbits/sec
80 4.37 GBytes 37.5 Gbits/sec       4 GBytes 34.3 Gbits/sec
81 3.99 GBytes 34.3 Gbits/sec       4.89 GBytes 42 Gbits/sec
82 4.3 GBytes 36.9 Gbits/sec       4.64 GBytes 39.9 Gbits/sec
83 3.98 GBytes 34.2 Gbits/sec       4.62 GBytes 39.7 Gbits/sec
84 4.17 GBytes 35.8 Gbits/sec       3.99 GBytes 34.3 Gbits/sec
85 4.07 GBytes 35 Gbits/sec       4.38 GBytes 37.6 Gbits/sec
86 3.75 GBytes 32.2 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
87 3.68 GBytes 31.6 Gbits/sec       4.35 GBytes 37.4 Gbits/sec
88 3.83 GBytes 32.9 Gbits/sec       4.22 GBytes 36.3 Gbits/sec
89 4.17 GBytes 35.8 Gbits/sec       3.9 GBytes 33.5 Gbits/sec
90 4.13 GBytes 35.5 Gbits/sec       3.8 GBytes 32.6 Gbits/sec
91 4.06 GBytes 34.9 Gbits/sec       3.99 GBytes 34.3 Gbits/sec
92 4.37 GBytes 37.5 Gbits/sec       4.2 GBytes 36 Gbits/sec
93 3.33 GBytes 28.6 Gbits/sec       4.38 GBytes 37.6 Gbits/sec
94 4.1 GBytes 35.2 Gbits/sec       4.33 GBytes 37.2 Gbits/sec
95 4.19 GBytes 36 Gbits/sec       3.96 GBytes 34 Gbits/sec
96 4.52 GBytes 38.9 Gbits/sec       3.08 GBytes 26.5 Gbits/sec
97 3.92 GBytes 33.6 Gbits/sec       4.18 GBytes 35.9 Gbits/sec
98 3.83 GBytes 32.9 Gbits/sec       4.43 GBytes 38.1 Gbits/sec
99 3.96 GBytes 34 Gbits/sec       4.04 GBytes 34.7 Gbits/sec
100 3.73 GBytes 32 Gbits/sec       4.11 GBytes 35.3 Gbits/sec
101 4.33 GBytes 37.2 Gbits/sec       4.09 GBytes 35.1 Gbits/sec
102 3.96 GBytes 34 Gbits/sec       3.99 GBytes 34.3 Gbits/sec
103 3.68 GBytes 31.6 Gbits/sec       2.66 GBytes 22.9 Gbits/sec
104 3.35 GBytes 28.8 Gbits/sec       4.02 GBytes 34.6 Gbits/sec
105 3.74 GBytes 32.2 Gbits/sec       4.02 GBytes 34.6 Gbits/sec
106 3.34 GBytes 28.7 Gbits/sec       3.55 GBytes 30.5 Gbits/sec
107 4.44 GBytes 38.2 Gbits/sec       4.08 GBytes 35 Gbits/sec
108 4.34 GBytes 37.3 Gbits/sec       4.28 GBytes 36.7 Gbits/sec
109 4.31 GBytes 37 Gbits/sec       4.16 GBytes 35.7 Gbits/sec
110 4.17 GBytes 35.8 Gbits/sec       3.87 GBytes 33.2 Gbits/sec
111 4.27 GBytes 36.6 Gbits/sec       4.27 GBytes 36.6 Gbits/sec
112 4.27 GBytes 36.7 Gbits/sec       3.51 GBytes 30.1 Gbits/sec
113 4.09 GBytes 35.1 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
114 4.02 GBytes 34.6 Gbits/sec       4.47 GBytes 38.4 Gbits/sec
115 3.62 GBytes 31.1 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
116 4.7 GBytes 40.3 Gbits/sec       3.58 GBytes 30.8 Gbits/sec
117 4.26 GBytes 36.6 Gbits/sec       4.27 GBytes 36.7 Gbits/sec
118 4.11 GBytes 35.3 Gbits/sec       4.25 GBytes 36.5 Gbits/sec
119 4.43 GBytes 38 Gbits/sec       3.8 GBytes 32.6 Gbits/sec
120 4.15 GBytes 35.7 Gbits/sec       3.7 GBytes 31.8 Gbits/sec
121 4.76 GBytes 40.9 Gbits/sec       3.36 GBytes 28.9 Gbits/sec
122 4.22 GBytes 36.2 Gbits/sec       4.05 GBytes 34.8 Gbits/sec
123 4.43 GBytes 38 Gbits/sec       4.01 GBytes 34.4 Gbits/sec
124 4.14 GBytes 35.6 Gbits/sec       4.28 GBytes 36.7 Gbits/sec
125 4.09 GBytes 35.2 Gbits/sec       3.81 GBytes 32.7 Gbits/sec
126 4.18 GBytes 35.9 Gbits/sec       4.33 GBytes 37.2 Gbits/sec
127 4.3 GBytes 36.9 Gbits/sec       3.29 GBytes 28.3 Gbits/sec
128 3.86 GBytes 33.2 Gbits/sec       4.18 GBytes 35.9 Gbits/sec
129 3.77 GBytes 32.4 Gbits/sec       4.07 GBytes 35 Gbits/sec
130 3.97 GBytes 34.1 Gbits/sec       4.62 GBytes 39.7 Gbits/sec
131 4.26 GBytes 36.6 Gbits/sec       3.59 GBytes 30.8 Gbits/sec
132 4.23 GBytes 36.4 Gbits/sec       4.22 GBytes 36.2 Gbits/sec
133 4.18 GBytes 35.9 Gbits/sec       3.64 GBytes 31.2 Gbits/sec
134 3.8 GBytes 32.6 Gbits/sec       3.94 GBytes 33.9 Gbits/sec
135 4.26 GBytes 36.6 Gbits/sec       3.28 GBytes 28.2 Gbits/sec
136 3.9 GBytes 33.5 Gbits/sec       3.89 GBytes 33.5 Gbits/sec
137 4.36 GBytes 37.4 Gbits/sec       3.93 GBytes 33.8 Gbits/sec
138 4.49 GBytes 38.6 Gbits/sec       2.89 GBytes 24.8 Gbits/sec
